event,n,acc,f1_macro,f1_micro
GretaThunberg,286,0.5524475524475524,0.30140238961071525,0.5524475524475524
NotreDame,458,0.40829694323144106,0.29573649102563415,0.40829694323144106
ChampionsLeague,485,0.4948453608247423,0.27919086807752097,0.4948453608247423
Venezuela,492,0.4268292682926829,0.24825070747137148,0.4268292682926829
GameOfThrones,446,0.437219730941704,0.24640447746609082,0.437219730941704
LaLiga,187,0.5187165775401069,0.17910756656557328,0.5187165775401069
SpainElection,254,0.41338582677165353,0.1778848536563818,0.41338582677165353
WorldBookDay,465,0.5161290322580645,0.17268717236151576,0.5161290322580645
