label,precision,recall,f1,support
anger,0.208955223880597,0.1721311475409836,0.18876404494382024,244
disgust,0.3806818181818182,0.3641304347826087,0.37222222222222223,184
fear,0.10526315789473684,0.0784313725490196,0.0898876404494382,51
joy,0.4693042291950887,0.4574468085106383,0.4632996632996633,752
others,0.5550031075201989,0.6154376292212267,0.5836601307189543,1451
sadness,0.3031496062992126,0.27697841726618705,0.2894736842105263,278
surprise,0.08064516129032258,0.04424778761061947,0.05714285714285714,113
