label,precision,recall,f1,support
anger,0.1553398058252427,0.06557377049180328,0.09221902017291066,244
disgust,0.2541436464088398,0.25,0.25205479452054796,184
fear,0.0,0.0,0.0,51
joy,0.4493006993006993,0.34175531914893614,0.38821752265861026,752
others,0.5134474327628362,0.7236388697450035,0.6006864988558352,1451
sadness,0.26744186046511625,0.16546762589928057,0.20444444444444446,278
surprise,0.0,0.0,0.0,113
