event,n,acc,f1_macro,f1_micro
NotreDame,458,0.37336244541484714,0.23468474075942383,0.37336244541484714
Venezuela,492,0.4410569105691057,0.2027171944175643,0.4410569105691057
ChampionsLeague,485,0.465979381443299,0.19516888580301472,0.465979381443299
GameOfThrones,446,0.4282511210762332,0.18049737110961603,0.4282511210762332
GretaThunberg,286,0.5209790209790209,0.1800855250462881,0.5209790209790209
LaLiga,187,0.4919786096256685,0.1698742079176862,0.4919786096256685
WorldBookDay,465,0.5053763440860215,0.15935671084592687,0.5053763440860215
SpainElection,254,0.44881889763779526,0.1569524541842881,0.44881889763779526
