event,n,acc,f1_macro,f1_micro
NotreDame,458,0.3646288209606987,0.20421681332786285,0.3646288209606987
LaLiga,187,0.4919786096256685,0.17844784323657564,0.4919786096256685
Venezuela,492,0.4573170731707317,0.17698406354589238,0.4573170731707317
GretaThunberg,286,0.4825174825174825,0.1753950765191708,0.4825174825174825
GameOfThrones,446,0.45067264573991034,0.1733446331161154,0.45067264573991034
SpainElection,254,0.47244094488188976,0.16049028620457192,0.47244094488188976
WorldBookDay,465,0.5182795698924731,0.15763877472738233,0.5182795698924731
ChampionsLeague,485,0.4762886597938144,0.14513314192422452,0.4762886597938144
